@relation 'mobile_price_replacedwQuestionMark-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.Remove-R12,16'

@attribute battery_power numeric
@attribute blue {0,1}
@attribute clock_speed numeric
@attribute dual_sim {0,1}
@attribute fc numeric
@attribute four_g {0,1}
@attribute int_memory numeric
@attribute m_dep numeric
@attribute mobile_wt numeric
@attribute n_cores numeric
@attribute pc numeric
@attribute px_width numeric
@attribute ram numeric
@attribute sc_h numeric
@attribute talk_time numeric
@attribute touch_screen {0,1}
@attribute wifi {0,1}
@attribute price_category {0,1}

@data
842,0,2.2,0,1,0,7,0.6,188,2,2,756,2549,9,19,0,1,0
1021,1,0.5,1,0,1,53,0.7,136,3,6,1988,2631,17,7,1,0,0
563,1,0.5,1,2,1,41,0.9,145,5,6,1716,2603,11,9,1,0,0
615,1,2.5,0,0,0,10,0.8,131,6,9,1786,2769,16,11,0,0,0
1821,1,1.2,0,13,1,44,0.6,141,2,14,1212,1411,8,15,1,0,0
1859,0,0.5,1,3,0,22,0.7,164,1,7,1654,1067,17,10,0,0,0
1821,0,1.7,0,4,1,10,0.8,139,8,10,1018,3220,13,18,0,1,1
1954,0,0.5,1,0,0,24,0.8,187,4,0,1149,700,16,5,1,1,0
1445,1,0.5,0,0,0,53,0.7,174,7,14,836,1099,17,20,0,0,0
509,1,0.6,1,2,1,9,0.1,93,5,15,1224,513,19,12,0,0,0
769,1,2.9,1,0,0,9,0.1,182,5,1,874,3946,5,7,0,0,1
1520,1,2.2,0,5,1,33,0.5,177,8,18,1005,3826,14,13,1,1,1
1815,0,2.8,0,2,0,33,0.6,159,4,17,748,1482,18,2,0,0,0
803,1,2.1,0,7,0,17,1,198,4,11,1440,2680,7,4,0,1,0
1866,0,0.5,0,13,1,52,0.7,185,1,17,563,373,14,3,0,1,0
775,0,1,0,3,0,46,0.7,159,2,16,1864,568,17,11,1,1,0
838,0,0.5,0,1,1,13,0.1,196,8,4,1850,3554,10,19,0,1,1
595,0,0.9,1,7,1,23,0.1,121,3,17,810,3752,10,18,1,0,1
1131,1,0.5,1,11,0,49,0.6,101,5,18,878,1835,19,16,1,0,0
682,1,0.5,0,4,0,19,1,121,4,11,1064,2337,11,18,1,1,0
772,0,1.1,1,12,0,39,0.8,81,7,14,1854,2819,17,3,1,0,1
1709,1,2.1,0,1,0,13,1,156,2,2,1385,3283,17,15,0,0,1
1949,0,2.6,1,4,0,47,0.3,199,4,7,822,1433,11,20,0,1,0
1602,1,2.8,1,4,1,38,0.7,114,3,20,788,1037,8,20,0,0,0
503,0,1.2,1,5,1,8,0.4,111,3,13,1245,2583,11,12,0,0,0
961,1,1.4,1,0,1,57,0.6,114,8,3,1434,2782,18,7,1,1,0
519,1,1.6,1,7,1,51,0.3,132,4,19,645,3763,16,4,0,1,1
956,0,0.5,0,1,1,41,1,143,7,6,1075,3286,17,12,1,0,1
1453,0,1.6,1,12,1,52,0.3,96,2,18,1311,2373,10,10,1,1,0
851,0,0.5,0,3,0,21,0.4,200,5,7,1263,478,12,10,0,1,0
1579,1,0.5,1,0,0,5,0.2,88,7,9,1739,3532,17,12,0,1,1
1568,1,0.5,0,16,0,33,1,150,8,20,654,508,5,6,1,1,0
1319,1,0.9,0,3,1,41,0.9,107,1,18,1152,2227,18,3,1,1,0
1310,1,2.2,1,0,1,51,0.6,100,4,0,1919,3845,7,12,1,0,1
644,1,2.7,0,0,0,22,0.7,157,8,3,881,1262,12,15,0,0,0
725,0,1.3,1,16,0,60,0.4,160,8,17,1249,1326,10,15,0,0,0
589,1,2.3,1,1,0,61,0.6,160,4,10,815,2113,13,2,0,1,0
1725,1,1.6,1,6,1,6,0.5,119,2,18,1307,3429,6,4,1,0,1
790,0,2,1,16,1,11,0.3,87,6,17,730,3169,6,2,0,1,0
560,0,0.5,1,15,0,50,0.3,159,2,20,1613,2150,18,11,1,0,0
1347,0,2.9,0,5,0,44,0.6,132,1,14,967,2484,18,11,0,1,0
1646,1,2.3,0,8,1,41,0.2,185,2,10,1932,3339,18,19,1,0,1
